Station,Exit,latitude,longitude
ANG MO KIO MRT STATION,Exit A,39053.9714,29849.652
BISHAN MRT STATION,Exit B,37019.3624,29668.6276
BISHAN MRT STATION,Exit E,37016.0893,29682.0566
BISHAN MRT STATION,Exit C,36966.3386,29657.168
BRADDELL MRT STATION,Exit C,35870.2371,29571.6544
BRADDELL MRT STATION,Exit B,35878.215,29456.5442
BRADDELL MRT STATION,Exit A,35914.1157,29459.1085
TOA PAYOH MRT STATION,Exit B,34946.2041,29586.8771
TOA PAYOH MRT STATION,Exit C,35021.2362,29558.1869
NOVENA MRT STATION,Exit B,33572.9005,29115.2558
NOVENA MRT STATION,Exit A,33705.4783,29232.0654
TOA PAYOH MRT STATION,Exit D,35052.7102,29468.8916
WOODLEIGH MRT STATION,Exit C,35781.2583,32199.5255
WOODLEIGH MRT STATION,Exit A,35631.256,32186.9299
WOODLEIGH MRT STATION,Exit B,35639.2714,32138.8376
BOON KENG MRT STATION,Exit B,33499.8608,31181.2407
POTONG PASIR MRT STATION,Exit C,34808.139,31938.0196
POTONG PASIR MRT STATION,Exit B,34817.1441,32008.0592
SOMERSET MRT STATION,Exit A,31376.0642,28565.4416
ONE-NORTH MRT STATION,Exit C,31341.4124,22908.0867
BRAS BASAH MRT STATION,Exit B,30935.7306,29909.2781
BRAS BASAH MRT STATION,Exit A,31025.5964,30004.2064
BRAS BASAH MRT STATION,Exit C,31042.7912,29884.3011
BRAS BASAH MRT STATION,Exit D,31102.1756,29874.025
BRAS BASAH MRT STATION,Exit E,31100.4029,29903.5919
ESPLANADE MRT STATION,Exit A,30639.8745,30558.2509
BUKIT BATOK MRT STATION,Exit C,36848.7475,18701.5916
CHINATOWN MRT STATION,Exit D,29759.2374,29130.4597
BUKIT BATOK MRT STATION,Exit D,36725.4937,18629.4531
BUKIT BATOK MRT STATION,Exit A,36853.2819,18724.6759
BUKIT GOMBAK MRT STATION,Exit C,37904.1696,18919.759
BUKIT GOMBAK MRT STATION,Exit A,37904.7064,18958.6849
BUKIT GOMBAK MRT STATION,Exit D,37929.9187,18944.7303
BOON LAY MRT STATION,Exit B,35621.6437,13846.9878
BOON LAY MRT STATION,Exit C,35656.7428,13825.8006
BOON LAY MRT STATION,Exit A,35606.0892,13765.0163
LAKESIDE MRT STATION,Exit C,36272.1251,15579.4932
LAKESIDE MRT STATION,Exit B,36247.5019,15508.5547
KRANJI MRT STATION,Exit C,45208.8271,20035.9895
BUKIT PANJANG LRT STATION,Exit A,40000.1236,20181.4913
BUKIT PANJANG LRT STATION,Exit B,39982.748,20194.285
SAMUDERA LRT STATION,Exit A,44184.827,35633.4163
SAMUDERA LRT STATION,Exit B,44189.3064,35683.5004
TECK LEE LRT STATION,Exit A,43854.2656,36175.3909
TECK LEE LRT STATION,Exit B,43860.1548,36145.2612
SAM KEE LRT STATION,Exit A,43503.379,35981.4349
PETIR LRT STATION,Exit A,39953.9847,20596.5326
PENDING LRT STATION,Exit A,39809.5479,21101.1989
BANGKIT LRT STATION,Exit A,40202.7743,21241.7354
FAJAR LRT STATION,Exit A,40712.7212,21028.6271
SEGAR LRT STATION,Exit A,41082.7625,20887.7915
JELAPANG LRT STATION,Exit A,40974.5402,20361.0528
TAMPINES MRT STATION,Exit F,37365.6744,40167.7588
GEYLANG BAHRU MRT STATION,Exit A,33757.128,32255.4022
TAMPINES EAST MRT STATION,Exit A,37616.3928,41490.6098
CHOA CHU KANG MRT STATION,Exit A,40819.6527,18121.9865
ORCHARD MRT STATION,Exit 3,31833.0307,27939.0368
ORCHARD MRT STATION,Exit 7,31723.1632,27872.3518
SOMERSET MRT STATION,Exit B,31457.6718,28572.0809
DHOBY GHAUT MRT STATION,Exit A,31200.9838,29499.0235
DHOBY GHAUT MRT STATION,Exit B,31268.5219,29325.5857
DHOBY GHAUT MRT STATION,Exit E,31345.1039,29341.4705
DHOBY GHAUT MRT STATION,Exit F,31332.5452,29393.78
BUGIS MRT STATION,Exit C,31373.692,30489.2604
CITY HALL MRT STATION,Exit A,30624.0108,30192.6433
CITY HALL MRT STATION,Exit B,30609.9457,30074.6528
BUGIS MRT STATION,Exit B,31459.4167,30561.7016
BUGIS MRT STATION,Exit A,31506.0668,30515.7885
OUTRAM PARK MRT STATION,Exit 1,29338.6056,28594.2007
OUTRAM PARK MRT STATION,Exit 2,29346.6685,28625.0436
TANJONG PAGAR MRT STATION,Exit B,28793.399,29471.9498
TANJONG PAGAR MRT STATION,Exit A,28764.2902,29281.5764
TANJONG PAGAR MRT STATION,Exit C,28728.9878,29470.7223
TANJONG PAGAR MRT STATION,Exit D,28726.2898,29512.4838
RAFFLES PLACE MRT STATION,Exit H,29742.8576,30036.9867
RAFFLES PLACE MRT STATION,Exit E,29516.5441,30025.957
RAFFLES PLACE MRT STATION,Exit B,29670.8283,30021.213
RAFFLES PLACE MRT STATION,Exit G,29716.1665,30021.0072
RAFFLES PLACE MRT STATION,Exit A,29617.5614,30016.5809
RAFFLES PLACE MRT STATION,Exit D,29564.07,30007.106
DHOBY GHAUT MRT STATION,Exit D,31365.2499,29303.3908
OUTRAM PARK MRT STATION,Exit 4,29185.0094,28786.6342
OUTRAM PARK MRT STATION,Exit 5,29044.9774,28693.4225
OUTRAM PARK MRT STATION,Exit 6,29056.5082,28580.7962
CLARKE QUAY MRT STATION,Exit C,30199.0385,29485.4359
CLARKE QUAY MRT STATION,Exit F,30201.4399,29537.065
CLARKE QUAY MRT STATION,Exit A,29924.2526,29418.5188
CLARKE QUAY MRT STATION,Exit E,30156.6146,29526.2589
CHINATOWN MRT STATION,Exit C,29678.3447,29056.6339
CHOA CHU KANG LRT STATION,Exit B,40769.715,18126.2144
CHINATOWN MRT STATION,Exit E,29719.1678,29236.3994
QUEENSTOWN MRT STATION,Exit A,30736.8216,24980.0217
REDHILL MRT STATION,Exit A,30197.5867,26183.2642
REDHILL MRT STATION,Exit B,30210.3215,26211.6341
COMMONWEALTH MRT STATION,Exit B,31677.3289,24075.8047
COMMONWEALTH MRT STATION,Exit A,31665.7612,24064.7211
TIONG BAHRU MRT STATION,Exit A,29798.2685,27295.7482
TIONG BAHRU MRT STATION,Exit B,29864.8881,27352.0417
HARBOURFRONT MRT STATION,Exit C,27531.5335,26799.4955
HARBOURFRONT MRT STATION,Exit B,27519.9019,26574.3684
ORCHARD MRT STATION,Exit 4,31877.1873,27857.6837
ORCHARD MRT STATION,Exit 1,31913.8654,27911.5995
NEWTON MRT STATION,Exit A,32765.9135,28507.7902
NEWTON MRT STATION,Exit B,32708.1565,28545.378
ORCHARD MRT STATION,Exit 2,31854.4005,27922.2113
LAVENDER MRT STATION,Exit A,32165.6951,31308.0592
LAVENDER MRT STATION,Exit B,32215.3514,31264.3496
KALLANG MRT STATION,Exit B,32675.7136,32258.9209
KALLANG MRT STATION,Exit A,32649.0335,32274.8902
ALJUNIED MRT STATION,Exit B,33196.1179,33470.3986
ALJUNIED MRT STATION,Exit A,33168.5356,33473.0437
LITTLE INDIA MRT STATION,Exit B,32098.6831,29743.5376
FARRER PARK MRT STATION,Exit B,32870.5458,30386.6444
FARRER PARK MRT STATION,Exit E,32686.9422,30151.5117
FARRER PARK MRT STATION,Exit F,32635.9134,30212.5461
PROMENADE MRT STATION,Exit A,30456.4481,31044.3797
TOA PAYOH MRT STATION,Exit A,34952.9388,29603.1517
LAKESIDE MRT STATION,Exit A,36236.6559,15438.7888
CHINESE GARDEN MRT STATION,Exit C,35969.2763,16879.3736
CHINESE GARDEN MRT STATION,Exit B,36015.3076,16806.8916
CHINESE GARDEN MRT STATION,Exit A,36065.8045,16748.8373
JURONG EAST MRT STATION,Exit C,34994.2801,17922.0014
JURONG EAST MRT STATION,Exit A,35131.4989,17810.4738
JURONG EAST MRT STATION,Exit B,34969.6833,17908.4322
YEW TEE MRT STATION,Exit B,42216.9216,18430.6087
YEW TEE MRT STATION,Exit A,42171.3333,18415.6152
YEW TEE MRT STATION,Exit C,42098.938,18441.9571
YEW TEE MRT STATION,Exit D,42128.987,18406.295
